codgr;libgr;sougr;libsougr;codal;libal;group_alim;code_role;code_role2
2;céréales pour petit déjeuner;1;céréales sucrées, glacées ou au miel;32006;riz soufflé nature sucré enrichi en vitamines et minéraux type rice krispies kel;céréales pdj;PS;PS
2;céréales pour petit déjeuner;1;céréales sucrées, glacées ou au miel;32021;céréales nature enrichies en vitamines et minéraux type kellogg's spécial k ou n;céréales pdj;PS;PS
2;céréales pour petit déjeuner;1;céréales sucrées, glacées ou au miel;32121;pétales de maïs glacés au sucre enrichis en vitamines et minéraux type kellogg's;céréales pdj;PS;PS
2;céréales pour petit déjeuner;1;céréales sucrées, glacées ou au miel;32133;boules de maïs soufflé au miel enrichies en vitamines et minéraux type miel pops;céréales pdj;PS;PS
2;céréales pour petit déjeuner;2;céréales chocolatées;32001;céréales chocolatées sucrées non fourrées enrichies en vitamines et minéraux;céréales pdj;PS;PS
2;céréales pour petit déjeuner;2;céréales chocolatées;32009;pétales de blé chocolatés enrichis en vitamines et minéraux type chocos kellogg';céréales pdj;PS;PS
2;céréales pour petit déjeuner;2;céréales chocolatées;32016;céréales fourrées au chocolat ou chocolat-noisette enrichies en vitamines et min;céréales pdj;PS;PS
2;céréales pour petit déjeuner;2;céréales chocolatées;32022;céréales chocolatées enrichies en vitamines et minéraux type spécial k au chocol;céréales pdj;PS;PS
2;céréales pour petit déjeuner;2;céréales chocolatées;32112;muesli croustillant au chocolat enrichi en vitamines et minéraux;céréales pdj;PS;PS
2;céréales pour petit déjeuner;2;céréales chocolatées;32115;grains de blé soufflés chocolatés enrichis en vitamines et minéraux;céréales pdj;PS;PS
2;céréales pour petit déjeuner;2;céréales chocolatées;32131;riz soufflé chocolaté enrichi en vitamines et minéraux type choco pops kellogg's;céréales pdj;PS;PS
2;céréales pour petit déjeuner;2;céréales chocolatées;32135;multi-céréales au chocolat soufflées ou extrudées enrichies en vitamines et miné;céréales pdj;PS;PS
2;céréales pour petit déjeuner;3;céréales aux fruits frais ou secs;32023;céréales aux fruits enrichies en vitamines et minéraux type fitness & fruits de;céréales pdj;PS;PS
2;céréales pour petit déjeuner;3;céréales aux fruits frais ou secs;32110;muesli floconneux aux fruits ou aux fruits secs enrichi en vitamines et minéraux;céréales pdj;PS;PS
2;céréales pour petit déjeuner;3;céréales aux fruits frais ou secs;32111;muesli croustillant aux fruits ou aux fruits secs enrichi en vitamines et minéra;céréales pdj;PS;PS
2;céréales pour petit déjeuner;3;céréales aux fruits frais ou secs;32113;muesli floconneux aux fruits ou aux fruits secs sans sucre ajouté type alpen;céréales pdj;PS;PS
2;céréales pour petit déjeuner;3;céréales aux fruits frais ou secs;32123;pétales de blé avec noix, noisettes ou amandes enrichis en vitamines et minéraux;céréales pdj;PS;PS
2;céréales pour petit déjeuner;4;autres céréales pour petit déjeuner;32004;muesli sans précision;céréales pdj;PS;PS
2;céréales pour petit déjeuner;4;autres céréales pour petit déjeuner;32018;céréales fourrées fourrage autre que chocolat enrichies en vitamines b1 b2 b6 b9;céréales pdj;PS;PS
2;céréales pour petit déjeuner;4;autres céréales pour petit déjeuner;90032;autres céréales sucrées pour petit déjeuner;céréales pdj;PS;PS
3;pâtes;1;pâtes alimentaires;9811;pâtes alimentaires cuites;pâtes;F;A
3;pâtes;1;pâtes alimentaires;9822;pâtes alimentaires aux oeufs cuites;pâtes;F;A
3;pâtes;1;pâtes alimentaires;9871;pâtes alimentaires au blé complet cuites;pâtes;F;A
3;pâtes;2;pâtes pour pâtisserie prêtes à l'emploi;23412;pâte brisée cuite;pâtes;F;A
3;pâtes;2;pâtes pour pâtisserie prêtes à l'emploi;23422;pâte feuilletée cuite;pâtes;F;A
4;riz et blé dur ou concassé;1;blé;9081;blé dur précuit nature type ebly;riz et blé;F;A
4;riz et blé dur ou concassé;1;blé;9683;couscous (graine seule) semoule cuite;riz et blé;F;A
4;riz et blé dur ou concassé;2;riz;9103;riz complet cuit;riz et blé;F;A
4;riz et blé dur ou concassé;2;riz;9104;riz blanc cuit;riz et blé;F;A
4;riz et blé dur ou concassé;2;riz;9105;riz blanc étuvé cuit;riz et blé;F;A
5;autres céréales;99;autres céréales;9230;pop corn ou maïs éclaté à l'huile salé;autres céréales;F;A
5;autres céréales;99;autres céréales;9313;flocons d'avoine cuits à l'eau;autres céréales;F;A
5;autres céréales;99;autres céréales;9615;polenta ou semoule de maïs cuite;autres céréales;F;A
5;autres céréales;99;autres céréales;9660;germes de blé;autres céréales;F;A
6;viennoiserie;99;viennoiserie;7601;croissant sans précision;viennoiserie;PS;PS
6;viennoiserie;99;viennoiserie;7615;croissant ordinaire artisanal;viennoiserie;PS;PS
6;viennoiserie;99;viennoiserie;7620;croissant au beurre artisanal;viennoiserie;PS;PS
6;viennoiserie;99;viennoiserie;7650;croissant aux amandes artisanal;viennoiserie;PS;PS
6;viennoiserie;99;viennoiserie;7710;pain au lait artisanal;viennoiserie;PS;PS
6;viennoiserie;99;viennoiserie;7720;pain aux raisins;viennoiserie;PS;PS
6;viennoiserie;99;viennoiserie;7730;pain au chocolat feuilleté artisanal;viennoiserie;PS;PS
6;viennoiserie;99;viennoiserie;7740;brioche industrielle préemballée;viennoiserie;PS;PS
6;viennoiserie;99;viennoiserie;7741;brioche sans précision;viennoiserie;PS;PS
6;viennoiserie;99;viennoiserie;23480;chausson aux pommes;viennoiserie;PS;PS
6;viennoiserie;99;viennoiserie;24660;palmier artisanal;viennoiserie;PS;PS
6;viennoiserie;99;viennoiserie;92510;autre viennoiserie;viennoiserie;PS;PS
7;biscuits sucrés ou salés et barres;1;biscuits sucrés;24000;biscuit sec sans précision;biscuits;PS;PS
7;biscuits sucrés ou salés et barres;1;biscuits sucrés;24002;biscuit diététique à teneur garantie en vitamines;biscuits;PS;PS
7;biscuits sucrés ou salés et barres;1;biscuits sucrés;24003;biscuit diététique à teneur garantie en vitamines et minéraux;biscuits;PS;PS
7;biscuits sucrés ou salés et barres;1;biscuits sucrés;24015;biscuit sec petit beurre;biscuits;PS;PS
7;biscuits sucrés ou salés et barres;1;biscuits sucrés;24016;biscuit sec petit beurre + tablette de chocolat type lu petit écolier;biscuits;PS;PS
7;biscuits sucrés ou salés et barres;1;biscuits sucrés;24031;biscuit sec corquant genre tuile sans chocolat allégé en matière grasse;biscuits;PS;PS
7;biscuits sucrés ou salés et barres;1;biscuits sucrés;24034;biscuit sec pour petit déjeuner type lu ou prince;biscuits;PS;PS
7;biscuits sucrés ou salés et barres;1;biscuits sucrés;24036;biscuit sec au chocolat sans précision;biscuits;PS;PS
7;biscuits sucrés ou salés et barres;1;biscuits sucrés;24037;biscuit sec fourré à la pâte de fruit type figolu à la figue;biscuits;PS;PS
7;biscuits sucrés ou salés et barres;1;biscuits sucrés;24038;biscuit sec nappé de chocolat type pépito ou mikado lu;biscuits;PS;PS
7;biscuits sucrés ou salés et barres;1;biscuits sucrés;24049;galette ou sablé ou palet type galette du mont saint michel;biscuits;PS;PS
7;biscuits sucrés ou salés et barres;1;biscuits sucrés;24231;goûter sec fourré au chocolat type prince ou bn au chocolat;biscuits;PS;PS
7;biscuits sucrés ou salés et barres;1;biscuits sucrés;24310;gaufrette fourrée fourrage autre qu'aux fruits (chocolat vanille noisette;;;
);biscuits;PS;PS;;;;;
7;biscuits sucrés ou salés et barres;1;biscuits sucrés;24320;gaufrette fourrée aux fruits type paille d'or aux framboises;biscuits;PS;PS
7;biscuits sucrés ou salés et barres;1;biscuits sucrés;24430;biscuit sec aux œufs à la cuillère ou boudoir;biscuits;PS;PS
7;biscuits sucrés ou salés et barres;1;biscuits sucrés;24441;langue de chat;biscuits;PS;PS
7;biscuits sucrés ou salés et barres;1;biscuits sucrés;24615;tuile aux amandes;biscuits;PS;PS
7;biscuits sucrés ou salés et barres;1;biscuits sucrés;24659;biscuit sec feuilleté type petits cœurs nature ou palmito;biscuits;PS;PS
7;biscuits sucrés ou salés et barres;1;biscuits sucrés;24678;barquette à la pulpe de fruit fabrication industrielle;biscuits;PS;PS
7;biscuits sucrés ou salés et barres;1;biscuits sucrés;24684;cookie;biscuits;PS;PS
7;biscuits sucrés ou salés et barres;1;biscuits sucrés;92033;autre biscuit sucré;biscuits;PS;PS
7;biscuits sucrés ou salés et barres;2;biscuits salés pour apéritif;4004;chips de pomme de terre salées;biscuits;PS;PS
7;biscuits sucrés ou salés et barres;2;biscuits salés pour apéritif;38105;chips de maïs ou tortilla chips type nacho cheese ou dippas nature doritos;biscuits;PS;PS
7;biscuits sucrés ou salés et barres;2;biscuits salés pour apéritif;38106;biscuit apéritif soufflé à base de pomme de terre type chipster lu;biscuits;PS;PS
7;biscuits sucrés ou salés et barres;2;biscuits salés pour apéritif;38400;biscuit apéritif soufflé à base de maïs sans cacahuète;biscuits;PS;PS
7;biscuits sucrés ou salés et barres;2;biscuits salés pour apéritif;38401;biscuit apéritif type cracker garni ou fourré au fromage type monaco lu;biscuits;PS;PS
7;biscuits sucrés ou salés et barres;2;biscuits salés pour apéritif;38402;biscuit apéritif type cracker nature type tuc ou triangolini;biscuits;PS;PS
7;biscuits sucrés ou salés et barres;2;biscuits salés pour apéritif;38403;biscuit apéritif type cracker allégé en matière grasse;biscuits;PS;PS
7;biscuits sucrés ou salés et barres;3;barres céréalières;31100;barre céréalière à base de céréales et de lait pour petit déjeuner avec ou sans;biscuits;PS;PS
7;biscuits sucrés ou salés et barres;3;barres céréalières;31101;barre céréalière aux fruits enrichie en vitamines et minéraux;biscuits;PS;PS
7;biscuits sucrés ou salés et barres;3;barres céréalières;31102;barre céréalière chocolatée enrichie en vitamines et minéraux;biscuits;PS;PS
7;biscuits sucrés ou salés et barres;3;barres céréalières;31106;barre chocolatée céréalière type grany céréales chocolat;biscuits;PS;PS
7;biscuits sucrés ou salés et barres;3;barres céréalières;31113;barre céréalière aux fruits;biscuits;PS;PS
7;biscuits sucrés ou salés et barres;3;barres céréalières;31114;barre céréalière aux amandes ou noisettes;biscuits;PS;PS
8;pâtisseries et gâteaux;1;gâteaux;23000;gâteau sans précision;pâtisseries;PS;PS
8;pâtisseries et gâteaux;1;gâteaux;23007;gâteau mousse aux fruits sur génoise type miroir aux fruits rouges de picard;pâtisseries;PS;PS
8;pâtisseries et gâteaux;1;gâteaux;23021;baba au rhum;pâtisseries;PS;PS
8;pâtisseries et gâteaux;1;gâteaux;23032;brownie au chocolat;pâtisseries;PS;PS
8;pâtisseries et gâteaux;1;gâteaux;23050;gâteau de savoie;pâtisseries;PS;PS
8;pâtisseries et gâteaux;1;gâteaux;23081;quatre-quarts fabrication industrielle;pâtisseries;PS;PS
8;pâtisseries et gâteaux;1;gâteaux;23121;gâteau breton ou far aux pruneau;pâtisseries;PS;PS
8;pâtisseries et gâteaux;1;gâteaux;23200;pain d'épices;pâtisseries;PS;PS
8;pâtisseries et gâteaux;1;gâteaux;23531;charlotte aux fruits artisanale;pâtisseries;PS;PS
8;pâtisseries et gâteaux;1;gâteaux;23585;gâteau au chocolat;pâtisseries;PS;PS
8;pâtisseries et gâteaux;1;gâteaux;23589;gâteau au fromage blanc;pâtisseries;PS;PS
8;pâtisseries et gâteaux;1;gâteaux;23684;galette des rois feuilletée fourrée à la frangipane;pâtisseries;PS;PS
8;pâtisseries et gâteaux;1;gâteaux;23909;cake aux fruits;pâtisseries;PS;PS
8;pâtisseries et gâteaux;1;gâteaux;23939;gâteau moelleux fourré au chocolat ou aux pépites de chocolat noir ou au lait;pâtisseries;PS;PS
8;pâtisseries et gâteaux;1;gâteaux;23940;gâteau moelleux fourré au chocolat multicouches type napolitain lu ou kinder dél;pâtisseries;PS;PS
8;pâtisseries et gâteaux;1;gâteaux;23941;gâteau moelleux fourré aux fruits type mini roulé fraise captain choc;pâtisseries;PS;PS
8;pâtisseries et gâteaux;1;gâteaux;23950;muffin;pâtisseries;PS;PS
8;pâtisseries et gâteaux;1;gâteaux;24630;madeleine;pâtisseries;PS;PS
8;pâtisseries et gâteaux;1;gâteaux;24680;gâteau moelleux génoise fourrée à l'orange type chamonix;pâtisseries;PS;PS
8;pâtisseries et gâteaux;1;gâteaux;24686;gâteau moelleux génoise fourrée à l'orange enrobée de chocolat type pim's;pâtisseries;PS;PS
8;pâtisseries et gâteaux;1;gâteaux;90024;madeleine fourrée aux fruits type coqueline à la fraise;pâtisseries;PS;PS
8;pâtisseries et gâteaux;1;gâteaux;90031;gâteau à la crème;pâtisseries;PS;PS
8;pâtisseries et gâteaux;1;gâteaux;92034;autre gâteau;pâtisseries;PS;PS
8;pâtisseries et gâteaux;2;pâtisseries et tartes;23024;macaron moelleux fourré à la confiture ou à la crème artisanal;pâtisseries;PS;PS
8;pâtisseries et gâteaux;2;pâtisseries et tartes;23300;pâtisserie orientale aux amandes et au sirop;pâtisseries;PS;PS
8;pâtisseries et gâteaux;2;pâtisseries et tartes;23455;chou à la crème chantilly ou pâtissière;pâtisseries;PS;PS
8;pâtisseries et gâteaux;2;pâtisseries et tartes;23467;chouquette artisanale;pâtisseries;PS;PS
8;pâtisseries et gâteaux;2;pâtisseries et tartes;23477;éclair;pâtisseries;PS;PS
8;pâtisseries et gâteaux;2;pâtisseries et tartes;23490;tarte ou tartelette aux pommes;pâtisseries;PS;PS
8;pâtisseries et gâteaux;2;pâtisseries et tartes;23493;crumble aux pommes;pâtisseries;PS;PS
8;pâtisseries et gâteaux;2;pâtisseries et tartes;23499;tarte ou tartelette aux fruits;pâtisseries;PS;PS
8;pâtisseries et gâteaux;2;pâtisseries et tartes;23501;tarte à la crème;pâtisseries;PS;PS
8;pâtisseries et gâteaux;2;pâtisseries et tartes;23900;pâtisserie sans précision;pâtisseries;PS;PS
8;pâtisseries et gâteaux;2;pâtisseries et tartes;24666;millefeuille;pâtisseries;PS;PS
8;pâtisseries et gâteaux;2;pâtisseries et tartes;92035;autre pâtisserie;pâtisseries;PS;PS
8;pâtisseries et gâteaux;3;beignets, crêpes et gaufres;23800;crêpe au froment nature;pâtisseries;PS;PS
8;pâtisseries et gâteaux;3;beignets, crêpes et gaufres;23801;crêpe ou galette bretonne au blé noir ou sarrasin;pâtisseries;PS;PS
8;pâtisseries et gâteaux;3;beignets, crêpes et gaufres;23805;blinis;pâtisseries;PS;PS
8;pâtisseries et gâteaux;3;beignets, crêpes et gaufres;23815;crêpe au froment sucrée non fourrée;pâtisseries;PS;PS
8;pâtisseries et gâteaux;3;beignets, crêpes et gaufres;23820;crêpe au froment fourrée à la confiture;pâtisseries;PS;PS
8;pâtisseries et gâteaux;3;beignets, crêpes et gaufres;23821;crêpe au froment fourrée au chocolat ou ou à la pâte à tartiner chocolat et nois;pâtisseries;PS;PS
8;pâtisseries et gâteaux;3;beignets, crêpes et gaufres;23855;gaufre bruxelloise ou liégeoise avec ou sans chocolat préemballée;pâtisseries;PS;PS
8;pâtisseries et gâteaux;3;beignets, crêpes et gaufres;23880;beignet sucré nature;pâtisseries;PS;PS
8;pâtisseries et gâteaux;3;beignets, crêpes et gaufres;23881;beignet fourré à la confiture;pâtisseries;PS;PS
8;pâtisseries et gâteaux;3;beignets, crêpes et gaufres;23883;beignet fourré aux fruits;pâtisseries;PS;PS
8;pâtisseries et gâteaux;3;beignets, crêpes et gaufres;39236;pain perdu;pâtisseries;PS;PS
9;lait;1;lait en bouteille ou en brique;19011;lait de croissance infantile;lait;PL;PL
9;lait;1;lait en bouteille ou en brique;19023;lait entier uht;lait;PL;PL
9;lait;1;lait en bouteille ou en brique;19024;lait entier pasteurisé;lait;PL;PL
9;lait;1;lait en bouteille ou en brique;19041;lait demi-écrémé uht;lait;PL;PL
9;lait;1;lait en bouteille ou en brique;19042;lait demi-écrémé pasteurisé;lait;PL;PL
9;lait;1;lait en bouteille ou en brique;19044;lait demi-écrémé en poudre;lait;PL;PL
9;lait;1;lait en bouteille ou en brique;19045;lait demi-écrémé uht à teneur garantie en vitamines;lait;PL;PL
9;lait;1;lait en bouteille ou en brique;19046;lait demi-écrémé uht à teneur garantie en protéines et vitamines enrichi en miné;lait;PL;PL
9;lait;1;lait en bouteille ou en brique;19050;lait écrémé uht;lait;PL;PL
9;lait;1;lait en bouteille ou en brique;19055;lait écrémé uht à teneur garantie en vitamines;lait;PL;PL
9;lait;2;lait aromatisé;19110;lait demi-écrémé aromatisé;lait;PL;PL
9;lait;2;lait aromatisé;19122;lait demi-écrémé aromatisé au chocolat;lait;PL;PL
9;lait;2;lait aromatisé;19127;lait demi-écrémé aromatisé à la fraise;lait;PL;PL
9;lait;2;lait aromatisé;39000;milk-shake sans précision;lait;PL;PL
9;lait;3;lait concentré ou en poudre;19021;lait entier en poudre;lait;PL;PL
9;lait;3;lait concentré ou en poudre;19026;lait entier concentré non sucré;lait;PL;PL
9;lait;3;lait concentré ou en poudre;19027;lait entier concentré sucré;lait;PL;PL
9;lait;3;lait concentré ou en poudre;19054;lait écrémé en poudre;lait;PL;PL
9;lait;4;autre lait;19200;lait de chèvre entier uht;lait;PL;PL
9;lait;4;autre lait;39400;lait de poule sans alcool;lait;PL;PL
9;lait;4;autre lait;92511;autre lait;lait;PL;PL
10;ultra-frais laitier;1;crème fraîche;19401;crème fraîche ou crème de lait fluide au moins 30% m.g. rayon frais;produit laitier;PL;PL
10;ultra-frais laitier;1;crème fraîche;19402;crème fraîche ou crème de lait sans précision;produit laitier;PL;PL
10;ultra-frais laitier;1;crème fraîche;19410;crème fraîche ou crème de lait épaisse au moins 30% m.g. rayon frais;produit laitier;PL;PL
10;ultra-frais laitier;1;crème fraîche;19415;crème fraîche ou crème de lait fluide au moins 30% m.g. uht;produit laitier;PL;PL
10;ultra-frais laitier;1;crème fraîche;19420;crème chantilly sucrée sous pression uht;produit laitier;PL;PL
10;ultra-frais laitier;1;crème fraîche;19430;crème fraîche ou crème de lait fluide allégée 15 à 20% m.g. uht;produit laitier;PL;PL
10;ultra-frais laitier;1;crème fraîche;19431;crème fraîche ou crème de lait épaisse allégée 15 à 20% m.g. rayon frais;produit laitier;PL;PL
10;ultra-frais laitier;1;crème fraîche;19433;spécialité à base de crème légère 8% m.g. type crème fluide ou épaisse;produit laitier;PL;PL
10;ultra-frais laitier;1;crème fraîche;81000;crème fraîche allégée ajoutée au service;produit laitier;PL;PL
10;ultra-frais laitier;1;crème fraîche;81001;crème fraîche allégée ajoutée à la cuisson;produit laitier;PL;PL
10;ultra-frais laitier;1;crème fraîche;81002;crème fraîche non allégée ajoutée au service;produit laitier;PL;PL
10;ultra-frais laitier;1;crème fraîche;81003;crème fraîche non allégée ajoutée à la cuisson;produit laitier;PL;PL
10;ultra-frais laitier;2;yaourts et assimilés;19600;yaourt ou spécialité laitière nature;produit laitier;PL;PL
10;ultra-frais laitier;2;yaourts et assimilés;19601;yaourt nature au lait entier;produit laitier;PL;PL
10;ultra-frais laitier;2;yaourts et assimilés;19602;yaourt brassé nature au lait entier type danone velouté nature;produit laitier;PL;PL
10;ultra-frais laitier;2;yaourts et assimilés;19605;yaourt nature au lait demi-écrémé;produit laitier;PL;PL
10;ultra-frais laitier;2;yaourts et assimilés;19606;yaourt nature 0% m.g. type taillefine nature 0% danone yoplait silhouette;produit laitier;PL;PL
10;ultra-frais laitier;2;yaourts et assimilés;19609;yaourt nature au lait demi-écrémé sucré;produit laitier;PL;PL
10;ultra-frais laitier;2;yaourts et assimilés;19611;yaourt aromatisé au lait entier sucré;produit laitier;PL;PL
10;ultra-frais laitier;2;yaourts et assimilés;19615;spécialité laitière type yaourt au bifidus aromatisé au lait entier sucrée type;produit laitier;PL;PL
10;ultra-frais laitier;2;yaourts et assimilés;19617;yaourt nature au lait entier sucré;produit laitier;PL;PL
10;ultra-frais laitier;2;yaourts et assimilés;19619;lait fermenté à boire au lait demi-écrémé nature type actimel;produit laitier;PL;PL
10;ultra-frais laitier;2;yaourts et assimilés;19621;yaourt aux céréales ou au muesli au lait entier;produit laitier;PL;PL
10;ultra-frais laitier;2;yaourts et assimilés;19624;yaourt ou spécialité laitière sans précision;produit laitier;PL;PL
10;ultra-frais laitier;2;yaourts et assimilés;19628;yaourt ou spécialité laitière aux fruits sans précision;produit laitier;PL;PL
10;ultra-frais laitier;2;yaourts et assimilés;19630;spécialité laitière au lait entier enrichie en crème au chocolat type stracciate;produit laitier;PL;PL
10;ultra-frais laitier;2;yaourts et assimilés;19640;yaourt aromatisé au lait demi-écrémé sucré;produit laitier;PL;PL
10;ultra-frais laitier;2;yaourts et assimilés;19670;spécialité laitière type yaourt 0% aromatisée sucrée type weight watcher;produit laitier;PL;PL
10;ultra-frais laitier;2;yaourts et assimilés;19700;yaourt aux fruits au lait entier sucré type danone recette crémeuse aux fruits o;produit laitier;PL;PL
10;ultra-frais laitier;2;yaourts et assimilés;19730;yaourt aux fruits au lait demi-écrémé sucré type panier de yoplait;produit laitier;PL;PL
10;ultra-frais laitier;2;yaourts et assimilés;19740;spécialité laitière type yaourt au lait entier au bifidus et aux fruits sucrée;produit laitier;PL;PL
10;ultra-frais laitier;2;yaourts et assimilés;19760;spécialité laitière type yaourt 0% aux fruits sucrée type sveltesse aux fruits p;produit laitier;PL;PL
10;ultra-frais laitier;2;yaourts et assimilés;19765;spécialité laitière type yaourt 0% aux fruits aux édulcorants type panier de yop;produit laitier;PL;PL
10;ultra-frais laitier;2;yaourts et assimilés;19771;yaourt à boire aromatisé au lait demi-écrémé sucré type yopi;produit laitier;PL;PL
10;ultra-frais laitier;2;yaourts et assimilés;19772;yaourt à boire au lait demi-écrémé aux édulcorants;produit laitier;PL;PL
10;ultra-frais laitier;2;yaourts et assimilés;19773;yaourt à boire aux fruits au lait demi-écrémé sucré type danone velouté ou fruix;produit laitier;PL;PL
10;ultra-frais laitier;2;yaourts et assimilés;19780;lait fermenté à boire au bifidus et aux fruits genre yaourt à boire;produit laitier;PL;PL
10;ultra-frais laitier;2;yaourts et assimilés;19800;lait fermenté au bifidus nature au lait entier type danone activa;produit laitier;PL;PL
10;ultra-frais laitier;2;yaourts et assimilés;19801;lait fermenté à boire maigre nature type lait ribot ou lactéor l'ben;produit laitier;PL;PL
10;ultra-frais laitier;2;yaourts et assimilés;19850;spécialité laitière nature à base de fromage blanc enrichie en crème type fjord;produit laitier;PL;PL
10;ultra-frais laitier;2;yaourts et assimilés;19851;spécialité laitière aux fruits à base de fromage blanc enrichie en crème type ge;produit laitier;PL;PL
10;ultra-frais laitier;2;yaourts et assimilés;19855;spécialité laitière type yaourt 0% aux céréales aux édulcorants type panier mues;produit laitier;PL;PL
10;ultra-frais laitier;2;yaourts et assimilés;19880;yaourt nature au lait de chèvre demi-écrémé;produit laitier;PL;PL
10;ultra-frais laitier;2;yaourts et assimilés;81071;yaourt ajouté au service;produit laitier;PL;PL
10;ultra-frais laitier;2;yaourts et assimilés;90057;yaourt bulgare ou velouté à la pulpe de fruits au lait entier;produit laitier;PL;PL
10;ultra-frais laitier;2;yaourts et assimilés;92036;autre yaourt ou spécialité laitière nature ou aux fruit;produit laitier;PL;PL
10;ultra-frais laitier;3;fromage blanc et petits suisses;19501;fromage blanc sans précision;produit laitier;PL;PL
10;ultra-frais laitier;3;fromage blanc et petits suisses;19502;fromage blanc sucré aromatisé ou aux fruits sans précision;produit laitier;PL;PL
10;ultra-frais laitier;3;fromage blanc et petits suisses;19505;fromage blanc battu nature 0% m.g.;produit laitier;PL;PL
10;ultra-frais laitier;3;fromage blanc et petits suisses;19506;fromage blanc de campagne nature 0% m.g.;produit laitier;PL;PL
10;ultra-frais laitier;3;fromage blanc et petits suisses;19510;fromage blanc battu 20% m.g. nature;produit laitier;PL;PL
10;ultra-frais laitier;3;fromage blanc et petits suisses;19515;fromage blanc battu nature 30% m.g.;produit laitier;PL;PL
10;ultra-frais laitier;3;fromage blanc et petits suisses;19518;fromage blanc battu aux fruits 0% m.g. aux édulcorants type yoplait câlin 0% sur;produit laitier;PL;PL
10;ultra-frais laitier;3;fromage blanc et petits suisses;19521;fromage blanc de campagne nature 40% m.g. type senoble fromage frais 43% campagn;produit laitier;PL;PL
10;ultra-frais laitier;3;fromage blanc et petits suisses;19522;fromage blanc battu nature 40% m.g. type danone jockey 40% ou yoplait calin 40%;produit laitier;PL;PL
10;ultra-frais laitier;3;fromage blanc et petits suisses;19562;petit-suisse nature 20% m.g. type gervais petit vitalité;produit laitier;PL;PL
10;ultra-frais laitier;3;fromage blanc et petits suisses;19565;petit-suisse nature 40% m.g.;produit laitier;PL;PL
10;ultra-frais laitier;3;fromage blanc et petits suisses;19566;fromage blanc aux fruits sucré 30-40% m.g.;produit laitier;PL;PL
10;ultra-frais laitier;3;fromage blanc et petits suisses;19569;petit suisse aux fruits au lait demi-écrémé type petits filous;produit laitier;PL;PL
10;ultra-frais laitier;3;fromage blanc et petits suisses;19572;fromage blanc type petit suisse 20% mg/ms, aromatisé vanille ou chocolat;produit laitier;PL;PL
10;ultra-frais laitier;3;fromage blanc et petits suisses;92039;autre fromage blanc;produit laitier;PL;PL
11;fromages;1;fromages affinés;12001;camembert fromage à pâte molle à croûte fleurie 45% m.g.;fromages;PL;PL
