,alpha,beta,omega_ini,seuil_acc,user,cluster,id_user,nojour,tyrep,avecqui,repas,substitution,reponse,omega,epsilon
19,1.01,1.005,0.5,0.8,<__main__.VirtualUser object at 0x00000283B3B21688>,5,11,1,diner,seul,"['pâtes alimentaires', 'légumes feuilles', 'légumes racines, tubercules ou bulbes', 'fromages fondus', 'fromages frais non affinés', 'fruits', 'sucre et assimilés']","('sucre et assimilés', 'confiture et miel')",False,0.5,0.9832000000000001
20,1.01,1.005,0.5,0.8,<__main__.VirtualUser object at 0x00000283B0079508>,5,7,2,petit-dejeuner,seul,"['café', 'beurre', 'lait en bouteille ou en brique', 'yaourts et assimilés']","('beurre', 'margarine')",True,0.5,0.9748000000000001
21,1.01,1.005,0.5,0.8,<__main__.VirtualUser object at 0x00000283B1CC8288>,3,8,2,petit-dejeuner,accompagne,"['aliments destinés à une alimentation particulière', 'café', 'pain', 'fruits', 'viennoiserie']","('viennoiserie', 'fruits')",True,0.5,0.9790000000000001
22,1.01,1.005,0.5,0.8,<__main__.VirtualUser object at 0x00000283B1CCA648>,8,9,2,petit-dejeuner,seul,"['café', 'confiture et miel']",(),False,0.5,0.9824000000000002
23,1.01,1.005,0.5,0.8,<__main__.VirtualUser object at 0x00000283B3B07D08>,8,10,2,petit-dejeuner,seul,"['café', 'eau du robinet']","('café', 'thé et infusions')",False,0.5,0.9824000000000002
24,1.01,1.005,0.5,0.8,<__main__.VirtualUser object at 0x00000283B3B21688>,5,11,2,petit-dejeuner,seul,"['thé et infusions', 'pain', 'sucre et assimilés']","('sucre et assimilés', 'confiture et miel')",False,0.5,0.9790000000000001
25,1.01,1.005,0.5,0.8,<__main__.VirtualUser object at 0x00000283B0079508>,5,7,2,dejeuner,accompagne,"['eau du robinet', 'pain', 'riz', 'légumes feuilles', 'légumes fruits', 'beurre', 'jambons et charcuteries en pièces', 'saucisses, saucissons, andouilles et boudins', 'volailles et lapins', 'feuilletés et friands', 'garnitures composées']","('saucisses, saucissons, andouilles et boudins', 'boeuf en pièces ou haché')",True,0.5,0.9706000000000001
26,1.01,1.005,0.5,0.8,<__main__.VirtualUser object at 0x00000283B1CC8288>,3,8,2,dejeuner,accompagne,"['café', ""condiments d'assaisonnement"", 'pain', 'pommes de terre et apparentés', 'beurre', 'huile', 'margarine', 'saucisses, saucissons, andouilles et boudins', 'fromage blanc et petits suisses', 'compotes', 'fruits']","(""condiments d'assaisonnement"", 'sauces')",False,0.5,0.9748000000000001
27,1.01,1.005,0.5,0.8,<__main__.VirtualUser object at 0x00000283B1CCA648>,8,9,2,dejeuner,accompagne,"['vin', 'sauces', 'pain', 'pommes de terre et apparentés', 'haricots verts et petits pois (légumes potagers)', 'légumes racines, tubercules ou bulbes', 'fruits']","('sauces', 'herbes aromatiques')",False,0.5,0.9780000000000002
28,1.01,1.005,0.5,0.8,<__main__.VirtualUser object at 0x00000283B3B07D08>,8,10,2,dejeuner,accompagne,"['beurre', 'huile', 'margarine', 'fromages affinés', 'fromages frais non affinés', 'sucre et assimilés']","('beurre', 'huile')",False,0.5,0.9780000000000002
29,1.01,1.005,0.5,0.8,<__main__.VirtualUser object at 0x00000283B3B21688>,5,11,2,dejeuner,seul,"['eau minérale gazeuse', 'vin', 'sauces', 'blé', 'légumes fruits', 'beurre', 'huile', 'margarine', 'fromages affinés', 'fruits', 'sucre et assimilés']","('beurre', 'huile')",True,0.5,0.9748000000000001
30,1.01,1.005,0.5,0.8,<__main__.VirtualUser object at 0x00000283B0079508>,5,7,2,gouter,seul,['café'],"('café', 'thé et infusions')",False,0.5,0.9664000000000001
31,1.01,1.005,0.5,0.8,<__main__.VirtualUser object at 0x00000283B1CC8288>,3,8,2,gouter,accompagne,"['café', 'thé et infusions', 'eau de source', 'eau du robinet', 'pain']","('thé et infusions', 'café')",True,0.5,0.9706000000000001
32,1.01,1.005,0.5,0.8,<__main__.VirtualUser object at 0x00000283B1CCA648>,8,9,2,gouter,accompagne,['café'],"('café', 'thé et infusions')",True,0.5,0.9736000000000002
33,1.01,1.005,0.5,0.8,<__main__.VirtualUser object at 0x00000283B3B07D08>,8,10,2,gouter,seul,['jus de fruits (purs et à base  de concentré)'],"('jus de fruits (purs et à base  de concentré)', 'eau du robinet')",True,0.5,0.9736000000000002
34,1.01,1.005,0.5,0.8,<__main__.VirtualUser object at 0x00000283B3B21688>,5,11,2,gouter,accompagne,['pain'],(),False,0.5,0.9748000000000001
35,1.01,1.005,0.5,0.8,<__main__.VirtualUser object at 0x00000283B0079508>,5,7,2,diner,seul,"['café', 'thé et infusions', 'eau du robinet', 'eau minérale gazeuse', ""condiments d'assaisonnement"", 'sauces', 'sel et épices', 'pain', 'huile', 'yaourts et assimilés', 'fruits']","(""condiments d'assaisonnement"", 'sauces')",False,0.5,0.9622000000000002
36,1.01,1.005,0.5,0.8,<__main__.VirtualUser object at 0x00000283B1CC8288>,3,8,2,diner,accompagne,"['pain', 'saucisses, saucissons, andouilles et boudins', 'potages et soupes', 'sucre et assimilés']","('saucisses, saucissons, andouilles et boudins', 'volailles et lapins')",True,0.5,0.9664000000000001
37,1.01,1.005,0.5,0.8,<__main__.VirtualUser object at 0x00000283B1CCA648>,8,9,2,diner,accompagne,"['eau de source', 'vin', 'légumes feuilles', 'légumes fruits', 'beurre', 'huile', 'chocolat en tablettes']","('beurre', 'huile')",False,0.5,0.9692000000000003
38,1.01,1.005,0.5,0.8,<__main__.VirtualUser object at 0x00000283B3B07D08>,8,10,2,diner,accompagne,"['spiritueux et vins cuits', 'fromages affinés', 'fromages fondus', 'yaourts et assimilés']","('fromages affinés', 'yaourts et assimilés')",False,0.5,0.9692000000000003
39,1.01,1.005,0.5,0.8,<__main__.VirtualUser object at 0x00000283B3B21688>,5,11,2,diner,accompagne,"[""condiments d'assaisonnement"", 'sel et épices', 'pain', 'légumes feuilles', 'légumes fruits', 'crème dessert et lait gélifié', 'fruits', 'gâteaux']","(""condiments d'assaisonnement"", 'sauces')",True,0.5,0.9706000000000001
40,1.01,1.005,0.5,0.8,<__main__.VirtualUser object at 0x00000283B0079508>,5,7,3,petit-dejeuner,accompagne,"['eau du robinet', 'jus de fruits (purs et à base  de concentré)', 'beurre', 'confiture et miel', 'sucre et assimilés']","('sucre et assimilés', 'confiture et miel')",True,0.5,0.9580000000000002
41,1.01,1.005,0.5,0.8,<__main__.VirtualUser object at 0x00000283B1CC8288>,3,8,3,petit-dejeuner,seul,"['cacao, poudres et boissons cacaotées', 'café', 'eau du robinet', 'jus de fruits (purs et à base  de concentré)', 'beurre', 'margarine', 'confiture et miel', 'sucre et assimilés']","('beurre', 'margarine')",True,0.5,0.9622000000000002
42,1.01,1.005,0.5,0.8,<__main__.VirtualUser object at 0x00000283B1CCA648>,8,9,3,petit-dejeuner,accompagne,"['eau minérale plate', 'lait en bouteille ou en brique']",(),False,0.5,0.9692000000000003
43,1.01,1.005,0.5,0.8,<__main__.VirtualUser object at 0x00000283B3B07D08>,8,10,3,petit-dejeuner,seul,"['aliments destinés à une alimentation particulière', 'café', 'eau du robinet', 'beurre', 'céréales aux fruits frais ou secs', 'confiture et miel']","('beurre', 'margarine')",True,0.5,0.9648000000000003
44,1.01,1.005,0.5,0.8,<__main__.VirtualUser object at 0x00000283B3B21688>,5,11,3,petit-dejeuner,seul,"['café', 'chicorée et poudre maltée', 'thé et infusions', 'pain']","('café', 'thé et infusions')",False,0.5,0.9664000000000001
45,1.01,1.005,0.5,0.8,<__main__.VirtualUser object at 0x00000283B0079508>,5,7,3,dejeuner,accompagne,"['vin', 'herbes aromatiques', 'sauces', 'haricots verts et petits pois (légumes potagers)', 'légumes fruits', 'légumes racines, tubercules ou bulbes', 'huile', 'boeuf en pièces ou haché', 'volailles et lapins', 'fromages affinés']","('fromages affinés', 'yaourts et assimilés')",False,0.5,0.9538000000000002
46,1.01,1.005,0.5,0.8,<__main__.VirtualUser object at 0x00000283B1CC8288>,3,8,3,dejeuner,accompagne,"['eau de source', 'sel et épices', 'légumes feuilles', 'huile', 'poissons de mer', 'fromages affinés', 'yaourts et assimilés']","('sel et épices', 'sauces')",True,0.5,0.9580000000000002
47,1.01,1.005,0.5,0.8,<__main__.VirtualUser object at 0x00000283B1CCA648>,8,9,3,dejeuner,accompagne,"['autre eau', 'sauces', 'pain', 'pommes de terre et apparentés', 'huile', 'oeufs et dérivés', 'hamburgers et hot-dog', 'plats à base de légumes', 'sucre et assimilés']","('sucre et assimilés', 'confiture et miel')",False,0.5,0.9648000000000003
48,1.01,1.005,0.5,0.8,<__main__.VirtualUser object at 0x00000283B3B07D08>,8,10,3,dejeuner,accompagne,"['café', 'vin', 'pain', 'boeuf en pièces ou haché', 'crème fraîche']","('crème fraîche', 'yaourts et assimilés')",True,0.5,0.9604000000000004
49,1.01,1.005,0.5,0.8,<__main__.VirtualUser object at 0x00000283B3B21688>,5,11,3,dejeuner,accompagne,"['café', 'sauces', 'pain', 'pommes de terre et apparentés', 'poissons de mer', 'fromage blanc et petits suisses', 'fromages affinés', 'lait en bouteille ou en brique', 'yaourts et assimilés']","('fromages affinés', 'yaourts et assimilés')",False,0.5,0.9622000000000002
50,1.01,1.005,0.5,0.8,<__main__.VirtualUser object at 0x00000283B0079508>,5,7,3,gouter,accompagne,['fromage blanc et petits suisses'],(),False,0.5,0.9538000000000002
51,1.01,1.005,0.5,0.8,<__main__.VirtualUser object at 0x00000283B1CC8288>,3,8,3,gouter,accompagne,"['eau minérale gazeuse', 'eau minérale plate', 'biscottes et panification sèche', 'chocolat en tablettes']","('chocolat en tablettes', 'fruits')",True,0.5,0.9538000000000002
52,1.01,1.005,0.5,0.8,<__main__.VirtualUser object at 0x00000283B1CCA648>,8,9,3,gouter,accompagne,"['fruits', 'viennoiserie']","('viennoiserie', 'fruits')",True,0.5,0.9604000000000004
53,1.01,1.005,0.5,0.8,<__main__.VirtualUser object at 0x00000283B3B07D08>,8,10,3,gouter,seul,"['jus de fruits (purs et à base  de concentré)', 'confiserie', 'sucre et assimilés']","('confiserie', 'confiture et miel')",False,0.5,0.9560000000000004
54,1.01,1.005,0.5,0.8,<__main__.VirtualUser object at 0x00000283B3B21688>,5,11,3,gouter,accompagne,['jus de fruits (purs et à base  de concentré)'],"('jus de fruits (purs et à base  de concentré)', 'eau du robinet')",True,0.5,0.9580000000000002
55,1.01,1.005,0.5,0.8,<__main__.VirtualUser object at 0x00000283B0079508>,5,7,3,diner,accompagne,"['eau du robinet', 'eau minérale plate', 'vin', 'huile', 'jambons et charcuteries en pièces', 'oeufs et dérivés', 'potages et soupes', 'fruits', 'sucre et assimilés']","('sucre et assimilés', 'confiture et miel')",False,0.5,0.9496000000000002
56,1.01,1.005,0.5,0.8,<__main__.VirtualUser object at 0x00000283B1CC8288>,3,8,3,diner,seul,"['biscottes et panification sèche', 'pain', 'légumes fruits', 'mélanges de légumes, légumes préparés et autres légumes', 'fromage blanc et petits suisses', 'fromages affinés']","('fromages affinés', 'yaourts et assimilés')",False,0.5,0.9496000000000002
57,1.01,1.005,0.5,0.8,<__main__.VirtualUser object at 0x00000283B1CCA648>,8,9,3,diner,accompagne,"['café', 'thé et infusions', 'eau du robinet', 'spiritueux et vins cuits', 'pain', 'haricots verts et petits pois (légumes potagers)', 'légumes racines, tubercules ou bulbes', 'beurre', 'huile', 'fromages affinés', 'yaourts et assimilés']","('fromages affinés', 'yaourts et assimilés')",True,0.5,0.9560000000000004
58,1.01,1.005,0.5,0.8,<__main__.VirtualUser object at 0x00000283B3B07D08>,8,10,3,diner,accompagne,"['pain', 'légumes racines, tubercules ou bulbes', 'huile', 'fromages affinés', 'yaourts et assimilés', 'confiture et miel', 'sucre et assimilés']","('fromages affinés', 'yaourts et assimilés')",False,0.5,0.9516000000000004
59,1.01,1.005,0.5,0.8,<__main__.VirtualUser object at 0x00000283B3B21688>,5,11,3,diner,accompagne,"['pain', 'crème dessert et lait gélifié']","('crème dessert et lait gélifié', 'fruits')",True,0.5,0.9538000000000002
60,1.01,1.005,0.5,0.8,<__main__.VirtualUser object at 0x00000283B0079508>,5,7,4,petit-dejeuner,seul,"['café', 'thé et infusions', 'pain', 'beurre', 'barres chocolatées', 'crème dessert et lait gélifié', 'confiture et miel', 'sucre et assimilés']","('sucre et assimilés', 'confiture et miel')",True,0.5,0.9454000000000002
61,1.01,1.005,0.5,0.8,<__main__.VirtualUser object at 0x00000283B1CC8288>,3,8,4,petit-dejeuner,accompagne,"['eau du robinet', 'pain', 'confiture et miel']",(),False,0.5,0.9496000000000002
62,1.01,1.005,0.5,0.8,<__main__.VirtualUser object at 0x00000283B1CCA648>,8,9,4,petit-dejeuner,accompagne,"['café', 'chicorée et poudre maltée', 'beurre', 'margarine', 'lait en bouteille ou en brique', 'sucre et assimilés']","('sucre et assimilés', 'confiture et miel')",True,0.5,0.9516000000000004
63,1.01,1.005,0.5,0.8,<__main__.VirtualUser object at 0x00000283B3B07D08>,8,10,4,petit-dejeuner,seul,['pain'],(),False,0.5,0.9516000000000004
64,1.01,1.005,0.5,0.8,<__main__.VirtualUser object at 0x00000283B3B21688>,5,11,4,petit-dejeuner,accompagne,"['café', 'biscottes et panification sèche', 'pain', 'beurre', 'yaourts et assimilés', 'fruits', 'viennoiserie']","('viennoiserie', 'fruits')",True,0.5,0.9496000000000002
65,1.01,1.005,0.5,0.8,<__main__.VirtualUser object at 0x00000283B0079508>,5,7,4,dejeuner,seul,"['café', 'pain', 'pommes de terre et apparentés', 'haricots verts et petits pois (légumes potagers)', 'légumes fruits', 'margarine', 'veau', 'volailles et lapins', 'fromages affinés', 'fruits']","('margarine', 'huile')",True,0.5,0.9412000000000003
66,1.01,1.005,0.5,0.8,<__main__.VirtualUser object at 0x00000283B1CC8288>,3,8,4,dejeuner,seul,"['café', 'eau de source', 'vin', ""condiments d'assaisonnement"", 'sauces', 'sel et épices', 'volailles et lapins', 'fromages affinés', 'yaourts et assimilés']","('fromages affinés', 'yaourts et assimilés')",False,0.5,0.9454000000000002
67,1.01,1.005,0.5,0.8,<__main__.VirtualUser object at 0x00000283B1CCA648>,8,9,4,dejeuner,seul,"['pain', 'plats à base de pâtes ou de pommes de terre', 'crème fraîche', 'fromage blanc et petits suisses', 'fromages affinés', 'fromages frais non affinés', 'yaourts et assimilés', 'chocolat en tablettes', 'fruits']","('fromages affinés', 'yaourts et assimilés')",True,0.5,0.9472000000000005
68,1.01,1.005,0.5,0.8,<__main__.VirtualUser object at 0x00000283B3B07D08>,8,10,4,dejeuner,accompagne,"['pain', 'pommes de terre et apparentés', 'beurre', 'huile', 'oeufs et dérivés', 'porc', 'fromages affinés']","('beurre', 'huile')",True,0.5,0.9472000000000005
69,1.01,1.005,0.5,0.8,<__main__.VirtualUser object at 0x00000283B3B21688>,5,11,4,dejeuner,accompagne,"['café', 'eau minérale plate', ""condiments d'accompagnement"", 'sauces', 'pain', 'boeuf en pièces ou haché', 'porc']","(""condiments d'accompagnement"", 'sauces')",True,0.5,0.9454000000000002
70,1.01,1.005,0.5,0.8,<__main__.VirtualUser object at 0x00000283B0079508>,5,7,4,gouter,accompagne,"['eau du robinet', 'fruits']",(),False,0.5,0.9412000000000003
71,1.01,1.005,0.5,0.8,<__main__.VirtualUser object at 0x00000283B1CC8288>,3,8,4,gouter,seul,"['eau du robinet', 'eau minérale plate', 'sucre et assimilés']","('sucre et assimilés', 'confiture et miel')",False,0.5,0.9412000000000003
72,1.01,1.005,0.5,0.8,<__main__.VirtualUser object at 0x00000283B1CCA648>,8,9,4,gouter,seul,['sucre et assimilés'],(),False,0.5,0.9472000000000005
73,1.01,1.005,0.5,0.8,<__main__.VirtualUser object at 0x00000283B3B07D08>,8,10,4,gouter,seul,['aliments destinés à une alimentation particulière'],(),False,0.5,0.9472000000000005
74,1.01,1.005,0.5,0.8,<__main__.VirtualUser object at 0x00000283B3B21688>,5,11,4,gouter,accompagne,['eau minérale plate'],"('eau minérale plate', 'eau de source')",False,0.5,0.9412000000000003
75,1.01,1.005,0.5,0.8,<__main__.VirtualUser object at 0x00000283B0079508>,5,7,4,diner,accompagne,"['sauces', 'blé', 'pain', 'pâtes alimentaires', 'huile', 'margarine', 'fromages affinés', 'sucre et assimilés']","('fromages affinés', 'yaourts et assimilés')",False,0.5,0.9370000000000003
76,1.01,1.005,0.5,0.8,<__main__.VirtualUser object at 0x00000283B1CC8288>,3,8,4,diner,accompagne,"[""condiments d'accompagnement"", ""condiments d'assaisonnement"", 'herbes aromatiques', 'pain', 'pâtes alimentaires', 'huile', 'fruits secs et châtaignes', 'volailles et lapins', 'pizzas', 'plats garnis à base de viande', 'fromages affinés', 'fruits']","(""condiments d'accompagnement"", 'sauces')",True,0.5,0.9370000000000003
77,1.01,1.005,0.5,0.8,<__main__.VirtualUser object at 0x00000283B1CCA648>,8,9,4,diner,seul,"['sauces', 'pain', 'pâtes alimentaires', 'légumes feuilles', 'légumes fruits', 'légumes racines, tubercules ou bulbes', 'fromages affinés', 'fromages frais non affinés']","('fromages affinés', 'yaourts et assimilés')",False,0.5,0.9428000000000005
78,1.01,1.005,0.5,0.8,<__main__.VirtualUser object at 0x00000283B3B07D08>,8,10,4,diner,seul,"['eau du robinet', 'eau minérale plate', 'sodas et colas', 'vin', ""condiments d'assaisonnement"", 'pain', 'légumes feuilles', 'légumes fruits', 'huile', 'volailles et lapins', 'entremets', 'fruits']","(""condiments d'assaisonnement"", 'sauces')",True,0.5,0.9428000000000005
79,1.01,1.005,0.5,0.8,<__main__.VirtualUser object at 0x00000283B3B21688>,5,11,4,diner,seul,"['eau de source', 'pain', 'pommes de terre et apparentés', 'pâtes alimentaires', 'huile', 'fromages affinés']","('fromages affinés', 'yaourts et assimilés')",False,0.5,0.9370000000000003
80,1.01,1.005,0.5,0.8,<__main__.VirtualUser object at 0x00000283B0079508>,5,7,5,petit-dejeuner,accompagne,['thé et infusions'],"('thé et infusions', 'café')",True,0.5,0.9328000000000003
81,1.01,1.005,0.5,0.8,<__main__.VirtualUser object at 0x00000283B1CC8288>,3,8,5,petit-dejeuner,accompagne,"['thé et infusions', 'pain', 'beurre', 'margarine']","('beurre', 'margarine')",False,0.5,0.9328000000000003
82,1.01,1.005,0.5,0.8,<__main__.VirtualUser object at 0x00000283B1CCA648>,8,9,5,petit-dejeuner,seul,"['cacao, poudres et boissons cacaotées', 'eau minérale plate', 'jus de fruits (purs et à base  de concentré)', 'pain', 'beurre']","('beurre', 'margarine')",True,0.5,0.9384000000000006
83,1.01,1.005,0.5,0.8,<__main__.VirtualUser object at 0x00000283B3B07D08>,8,10,5,petit-dejeuner,seul,"['pain', 'beurre', 'lait en bouteille ou en brique', 'confiture et miel', 'sucre et assimilés']","('sucre et assimilés', 'confiture et miel')",False,0.5,0.9384000000000006
84,1.01,1.005,0.5,0.8,<__main__.VirtualUser object at 0x00000283B3B21688>,5,11,5,petit-dejeuner,accompagne,['café'],"('café', 'thé et infusions')",False,0.5,0.9328000000000003
85,1.01,1.005,0.5,0.8,<__main__.VirtualUser object at 0x00000283B0079508>,5,7,5,dejeuner,accompagne,"['autre eau', 'eau de source', ""condiments d'assaisonnement"", 'légumes feuilles', 'légumes fruits', 'mélanges de légumes, légumes préparés et autres légumes', 'pâtés, terrines, rillettes et foie gras', 'crème fraîche', 'fromages affinés', 'yaourts et assimilés', 'compotes']","(""condiments d'assaisonnement"", 'sauces')",True,0.5,0.9286000000000003
86,1.01,1.005,0.5,0.8,<__main__.VirtualUser object at 0x00000283B1CC8288>,3,8,5,dejeuner,accompagne,"['pommes de terre et apparentés', 'haricots verts et petits pois (légumes potagers)', 'légumes fruits', 'légumes racines, tubercules ou bulbes', 'mélanges de légumes, légumes préparés et autres légumes']","('légumes racines, tubercules ou bulbes', 'légumes feuilles')",False,0.5,0.9286000000000003
87,1.01,1.005,0.5,0.8,<__main__.VirtualUser object at 0x00000283B1CCA648>,8,9,5,dejeuner,seul,"['sauces', 'légumes fruits', 'légumes racines, tubercules ou bulbes', 'mélanges de légumes, légumes préparés et autres légumes', 'huile', 'jambons et charcuteries en pièces', 'mollusques et coquillage', 'entremets', 'fruits']",(),False,0.5,0.9384000000000006
88,1.01,1.005,0.5,0.8,<__main__.VirtualUser object at 0x00000283B3B07D08>,8,10,5,dejeuner,accompagne,"['café', 'eau du robinet', 'herbes aromatiques', 'sauces', 'pâtes alimentaires', 'huile', 'fruits']",(),False,0.5,0.9384000000000006
89,1.01,1.005,0.5,0.8,<__main__.VirtualUser object at 0x00000283B3B21688>,5,11,5,dejeuner,accompagne,"['café', 'autre eau', 'entremets', 'fruits']","('entremets', 'fruits')",True,0.5,0.9286000000000003
90,1.01,1.005,0.5,0.8,<__main__.VirtualUser object at 0x00000283B0079508>,5,7,5,gouter,accompagne,"['eau de source', 'eau minérale gazeuse', 'vin', 'barres céréalières', 'fruits', 'confiserie']","('confiserie', 'sucre et assimilés')",True,0.5,0.9244000000000003
91,1.01,1.005,0.5,0.8,<__main__.VirtualUser object at 0x00000283B1CC8288>,3,8,5,gouter,seul,"['autre eau', 'eau du robinet']","('autre eau', 'eau de source')",True,0.5,0.9244000000000003
92,1.01,1.005,0.5,0.8,<__main__.VirtualUser object at 0x00000283B1CCA648>,8,9,5,gouter,accompagne,"['café', 'pain']","('café', 'thé et infusions')",False,0.5,0.9340000000000006
93,1.01,1.005,0.5,0.8,<__main__.VirtualUser object at 0x00000283B3B07D08>,8,10,5,gouter,seul,"['eau du robinet', 'fruits', 'viennoiserie']","('viennoiserie', 'fruits')",True,0.5,0.9340000000000006
94,1.01,1.005,0.5,0.8,<__main__.VirtualUser object at 0x00000283B3B21688>,5,11,5,gouter,accompagne,"['eau de source', 'eau minérale plate', 'fruits']",(),False,0.5,0.9286000000000003
95,1.01,1.005,0.5,0.8,<__main__.VirtualUser object at 0x00000283B0079508>,5,7,5,diner,seul,"['pain', 'fruits']","('pain', 'pâtes alimentaires')",False,0.5,0.9202000000000004
96,1.01,1.005,0.5,0.8,<__main__.VirtualUser object at 0x00000283B1CC8288>,3,8,5,diner,accompagne,"['jus de fruits (purs et à base  de concentré)', 'légumes feuilles', 'légumes fruits', 'légumes racines, tubercules ou bulbes', 'agneau', 'beignets, crêpes et bouchées à la reine', 'plats à base de légumes', 'potages et soupes', 'crème fraîche']","('crème fraîche', 'yaourts et assimilés')",True,0.5,0.9202000000000004
97,1.01,1.005,0.5,0.8,<__main__.VirtualUser object at 0x00000283B1CCA648>,8,9,5,diner,accompagne,"['jambons et charcuteries en pièces', 'potages et soupes', 'fromage blanc et petits suisses', 'fromages affinés']","('fromages affinés', 'yaourts et assimilés')",True,0.5,0.9296000000000006
