alpha;beta;omega;seuil_acc;user;id_user;nojour;tyrep;avecqui;repas;substitution;reponse;omega;epsilon
1.0001;1.0005;0.05;0.75;<__main__.VirtualUser object at 0x000001D082217080>;1;2;petit-dejeuner;seul;['aliments destinés à une alimentation particulière', 'confiture et miel'];();False;0.1;0.9975323874151758
1.0001;1.0005;0.05;0.75;<__main__.VirtualUser object at 0x000001D082217080>;1;2;dejeuner;accompagne;"[""condiments d'assaisonnement"", 'pommes de terre et apparentés', 'légumes feuilles', 'beurre', 'huile', 'boeuf en pièces ou haché', 'oeufs et dérivés', 'saucisses, saucissons, andouilles et boudins', 'volailles et lapins']";('beurre', 'huile');True;0.1;0.9969154842689698
1.0001;1.0005;0.05;0.75;<__main__.VirtualUser object at 0x000001D082217080>;1;2;gouter;seul;['bière', 'eau de source', 'fruits'];();False;0.1;0.9969154842689698
1.0001;1.0005;0.05;0.75;<__main__.VirtualUser object at 0x000001D082217080>;1;2;diner;accompagne;['eau du robinet', 'légumes feuilles', 'légumes racines, tubercules ou bulbes', 'gibier', 'fromages frais non affinés'];('fromages frais non affinés', 'lait en bouteille ou en brique');False;0.09000000000000001;0.9962985811227637
1.0001;1.0005;0.05;0.8;<__main__.VirtualUser object at 0x000001D080C334A8>;1;1;petit-dejeuner;accompagne;['café', 'lait en bouteille ou en brique'];('café', 'chicorée et poudre maltée');False;0.1;0.9991201055873296
1.0001;1.0005;0.05;0.8;<__main__.VirtualUser object at 0x000001D080C334A8>;1;1;dejeuner;accompagne;"['café', 'eau du robinet', ""condiments d'accompagnement"", 'sauces', 'blé', 'pain', 'pommes de terre et apparentés', 'beurre', 'huile', 'oeufs et dérivés', 'fruits']";"(""condiments d'accompagnement"", 'sauces')";True;0.1;0.9986801583809943
1.0001;1.0005;0.05;0.8;<__main__.VirtualUser object at 0x000001D080C334A8>;1;1;gouter;accompagne;['sucre et assimilés'];('sucre et assimilés', 'confiture et miel');False;0.1;0.998240211174659
1.0001;1.0005;0.05;0.8;<__main__.VirtualUser object at 0x000001D080C334A8>;1;1;diner;seul;['eau du robinet', 'beurre', 'huile', 'fromages affinés'];('beurre', 'huile');False;0.1;0.9978002639683238
1.0001;1.0005;0.05;0.8;<__main__.VirtualUser object at 0x000001D080C334A8>;1;2;petit-dejeuner;accompagne;['café', 'lait en bouteille ou en brique', 'sucre et assimilés'];('sucre et assimilés', 'confiture et miel');True;0.1;0.9973603167619886
1.0001;1.0005;0.05;0.8;<__main__.VirtualUser object at 0x000001D080C334A8>;1;2;dejeuner;seul;['café', 'pain', 'pommes de terre et apparentés', 'légumes feuilles', 'légumes secs', 'yaourts et assimilés'];('café', 'thé et infusions');False;0.1;0.9969203695556533
1.0001;1.0005;0.05;0.8;<__main__.VirtualUser object at 0x000001D080C334A8>;1;2;gouter;accompagne;['lait en bouteille ou en brique', 'yaourts et assimilés'];('yaourts et assimilés', 'lait en bouteille ou en brique');True;0.1;0.9964804223493181
1.0001;1.0005;0.05;0.8;<__main__.VirtualUser object at 0x000001D080C334A8>;1;2;diner;accompagne;['eau de source', 'pâtes alimentaires', 'beurre', 'potages et soupes', 'fromages affinés', 'yaourts et assimilés'];('beurre', 'huile');True;0.1;0.9960404751429829
1.0001;1.0005;0.1;0.5;<__main__.VirtualUser object at 0x000001D080C23C88>;1;1;petit-dejeuner;seul;['café', 'eau du robinet', 'viennoiserie', 'confiture et miel'];('viennoiserie', 'fruits');False;0.1;0.99907019990702
1.0001;1.0005;0.1;0.5;<__main__.VirtualUser object at 0x000001D080C23C88>;1;1;dejeuner;seul;['herbes aromatiques', 'blé', 'pain', 'pommes de terre et apparentés', 'beurre', 'volailles et lapins', 'fromages affinés', 'fromages fondus', 'yaourts et assimilés', 'sucre et assimilés'];('beurre', 'huile');False;0.1;0.99860529986053
1.0001;1.0005;0.1;0.5;<__main__.VirtualUser object at 0x000001D080C23C88>;1;1;gouter;seul;['beignets, crêpes et gaufres', 'fruits'];('beignets, crêpes et gaufres', 'fruits');True;0.1;0.99814039981404
1.0001;1.0005;0.1;0.5;<__main__.VirtualUser object at 0x000001D080C23C88>;1;1;diner;accompagne;['eau du robinet', 'pain', 'jambons et charcuteries en pièces', 'saucisses, saucissons, andouilles et boudins', 'fromages affinés', 'fromages frais non affinés', 'compotes', 'crème dessert et lait gélifié'];('fromages affinés', 'yaourts et assimilés');False;0.1;0.99767549976755
1.0001;1.0005;0.1;0.5;<__main__.VirtualUser object at 0x000001D080C23C88>;1;2;petit-dejeuner;seul;['cacao, poudres et boissons cacaotées', 'café', 'biscottes et panification sèche', 'pain', 'beurre', 'sucre et assimilés'];('sucre et assimilés', 'confiture et miel');True;0.09000000000000001;0.99721059972106
1.0001;1.0005;0.1;0.5;<__main__.VirtualUser object at 0x000001D080C23C88>;1;2;dejeuner;accompagne;['bière', 'eau minérale plate', 'vin', 'pain', 'pommes de terre et apparentés', 'légumes fruits', 'légumes racines, tubercules ou bulbes', 'plats à base de pâtes ou de pommes de terre', 'fromages affinés', 'fruits'];('fromages affinés', 'yaourts et assimilés');False;0.08000000000000002;0.9967456996745699
1.0001;1.0005;0.1;0.5;<__main__.VirtualUser object at 0x000001D080C23C88>;1;2;gouter;accompagne;['thé et infusions', 'sodas et colas'];('thé et infusions', 'café');True;0.07000000000000002;0.9962807996280799
1.0001;1.0005;0.1;0.5;<__main__.VirtualUser object at 0x000001D080C23C88>;1;2;diner;accompagne;['thé et infusions', 'eau minérale gazeuse', 'pain', 'poissons de mer', 'saucisses, saucissons, andouilles et boudins', 'potages et soupes', 'fruits', 'glaces'];('glaces', 'fruits');True;0.06000000000000002;0.99581589958159
1.0001;1.0005;0.1;0.75;<__main__.VirtualUser object at 0x000001D0850D5D30>;1;1;petit-dejeuner;seul;['café', 'beurre', 'sucre et assimilés'];('sucre et assimilés', 'confiture et miel');False;0.1;0.9991711562370493
1.0001;1.0005;0.1;0.75;<__main__.VirtualUser object at 0x000001D0850D5D30>;1;1;dejeuner;seul;['café', 'eau du robinet', 'eau minérale plate', 'vin', 'pain', 'huile', 'fromages affinés', 'fruits', 'pâtisseries et tartes'];('pâtisseries et tartes', 'fruits');True;0.1;0.998756734355574
1.0001;1.0005;0.1;0.75;<__main__.VirtualUser object at 0x000001D0850D5D30>;1;1;gouter;seul;['autres boissons fraîches', 'lait en bouteille ou en brique', 'biscuits sucrés', 'confiserie', 'confiture et miel'];('biscuits sucrés', 'fruits');True;0.1;0.9983423124740987
1.0001;1.0005;0.1;0.75;<__main__.VirtualUser object at 0x000001D0850D5D30>;1;1;diner;accompagne;['autre eau', 'eau du robinet', 'jus de fruits (purs et à base  de concentré)'];('jus de fruits (purs et à base  de concentré)', 'eau du robinet');True;0.1;0.9979278905926233
1.0001;1.0005;0.1;0.75;<__main__.VirtualUser object at 0x000001D0850D5D30>;1;2;petit-dejeuner;accompagne;['café', 'eau du robinet', 'jus de fruits (purs et à base  de concentré)', 'biscottes et panification sèche', 'pain'];('café', 'thé et infusions');False;0.1;0.997513468711148
1.0001;1.0005;0.1;0.75;<__main__.VirtualUser object at 0x000001D0850D5D30>;1;2;dejeuner;accompagne;['autre eau', 'eau du robinet', 'sel et épices', 'blé', 'pâtes alimentaires', 'riz', 'beurre', 'volailles et lapins', 'biscuits salés pour apéritif', 'entremets'];('beurre', 'huile');True;0.11;0.9970990468296727
1.0001;1.0005;0.1;0.75;<__main__.VirtualUser object at 0x000001D0850D5D30>;1;2;gouter;accompagne;['cacao, poudres et boissons cacaotées', 'café', 'jus de fruits (purs et à base  de concentré)'];('café', 'thé et infusions');False;0.11;0.9966846249481973
1.0001;1.0005;0.1;0.75;<__main__.VirtualUser object at 0x000001D0850D5D30>;1;2;diner;seul;['autre eau', 'herbes aromatiques', 'pommes de terre et apparentés', 'jambons et charcuteries en pièces', 'sucre et assimilés'];('sucre et assimilés', 'confiture et miel');False;0.11;0.9962702030667219
1.0001;1.0005;0.1;0.8;<__main__.VirtualUser object at 0x000001D082A85780>;1;1;petit-dejeuner;seul;['lait en bouteille ou en brique', 'sucre et assimilés'];('sucre et assimilés', 'confiture et miel');False;0.1;0.9991711562370493
1.0001;1.0005;0.1;0.8;<__main__.VirtualUser object at 0x000001D082A85780>;1;1;dejeuner;seul;['beurre'];('beurre', 'huile');False;0.1;0.998756734355574
1.0001;1.0005;0.1;0.8;<__main__.VirtualUser object at 0x000001D082A85780>;1;1;gouter;seul;['chicorée et poudre maltée', 'pain'];('chicorée et poudre maltée', 'café');True;0.1;0.9983423124740987
1.0001;1.0005;0.1;0.8;<__main__.VirtualUser object at 0x000001D082A85780>;1;1;diner;seul;['sauces', 'jambons et charcuteries en pièces', 'légumes secs', 'volailles et lapins', 'crème fraîche', 'fromages affinés'];('fromages affinés', 'yaourts et assimilés');False;0.1;0.9979278905926233
1.0001;1.0005;0.1;0.8;<__main__.VirtualUser object at 0x000001D082A85780>;1;2;petit-dejeuner;accompagne;['café', 'eau du robinet', 'eau minérale plate', 'sucre et assimilés'];('sucre et assimilés', 'confiture et miel');True;0.1;0.997513468711148
1.0001;1.0005;0.1;0.8;<__main__.VirtualUser object at 0x000001D082A85780>;1;2;dejeuner;seul;['autres boissons fraîches', 'eau du robinet', 'fromages affinés', 'yaourts et assimilés'];('fromages affinés', 'yaourts et assimilés');False;0.1;0.9970990468296727
1.0001;1.0005;0.1;0.8;<__main__.VirtualUser object at 0x000001D082A85780>;1;2;gouter;seul;['bière', 'sucre et assimilés'];('sucre et assimilés', 'confiture et miel');False;0.1;0.9966846249481973
1.0001;1.0005;0.1;0.8;<__main__.VirtualUser object at 0x000001D082A85780>;1;2;diner;seul;['café', 'légumes feuilles', 'beurre', 'huile', 'margarine', 'autres poissons ou poissons sans précision', 'boeuf en pièces ou haché', 'fruits secs et châtaignes', 'plats à base de pâtes ou de pommes de terre', 'fromages frais non affinés'];('beurre', 'huile');True;0.1;0.9962702030667219
1.0001;1.0005;0.15;0.5;<__main__.VirtualUser object at 0x000001D083DDAB70>;1;1;petit-dejeuner;seul;['café', 'chicorée et poudre maltée', 'compotes'];('café', 'chicorée et poudre maltée');False;0.1;0.9991701244813278
1.0001;1.0005;0.15;0.5;<__main__.VirtualUser object at 0x000001D083DDAB70>;1;1;dejeuner;seul;['pain', 'légumes tiges', 'huile', 'fromage blanc et petits suisses'];();False;0.1;0.9991701244813278
1.0001;1.0005;0.15;0.5;<__main__.VirtualUser object at 0x000001D083DDAB70>;1;1;gouter;seul;['sucre et assimilés'];('sucre et assimilés', 'confiture et miel');False;0.1;0.9987551867219917
1.0001;1.0005;0.15;0.5;<__main__.VirtualUser object at 0x000001D083DDAB70>;1;1;diner;seul;"['eau du robinet', ""condiments d'assaisonnement"", 'sauces', 'pain', 'pommes de terre et apparentés', 'pâtes alimentaires', 'légumes feuilles', 'légumes fruits', 'mélanges de légumes, légumes préparés et autres légumes', 'huile', 'sucre et assimilés']";"(""condiments d'assaisonnement"", 'herbes aromatiques')";False;0.1;0.9983402489626556
1.0001;1.0005;0.15;0.5;<__main__.VirtualUser object at 0x000001D083DDAB70>;1;2;petit-dejeuner;seul;['café', 'pain', 'fromage blanc et petits suisses', 'lait en bouteille ou en brique'];('café', 'cacao, poudres et boissons cacaotées');False;0.09000000000000001;0.9979253112033195
1.0001;1.0005;0.15;0.5;<__main__.VirtualUser object at 0x000001D083DDAB70>;1;2;dejeuner;seul;"['autre eau', ""condiments d'assaisonnement"", 'sauces', 'beurre', 'huile']";"(""condiments d'assaisonnement"", 'sauces')";True;0.08000000000000002;0.9975103734439834
1.0001;1.0005;0.15;0.5;<__main__.VirtualUser object at 0x000001D083DDAB70>;1;2;gouter;seul;['gâteaux'];('gâteaux', 'fruits');True;0.07000000000000002;0.9970954356846473
1.0001;1.0005;0.15;0.5;<__main__.VirtualUser object at 0x000001D083DDAB70>;1;2;diner;accompagne;['aliments destinés à une alimentation particulière', 'spiritueux et vins cuits', 'vin', 'fromages affinés', 'lait en bouteille ou en brique', 'yaourts et assimilés', 'glaces', 'gâteaux'];('gâteaux', 'fruits');False;0.06000000000000002;0.9966804979253112
1.0001;1.0005;0.15;0.75;<__main__.VirtualUser object at 0x000001D083DDAA90>;1;1;petit-dejeuner;accompagne;['café', 'chicorée et poudre maltée', 'autre eau', 'autres boissons fraîches', 'eau du robinet', 'saucisses, saucissons, andouilles et boudins', 'volailles et lapins', 'fromages affinés', 'lait en bouteille ou en brique', 'crème dessert et lait gélifié', 'viennoiserie', 'sucre et assimilés'];('sucre et assimilés', 'confiture et miel');True;0.1;0.9989035087719298
1.0001;1.0005;0.15;0.75;<__main__.VirtualUser object at 0x000001D083DDAA90>;1;1;dejeuner;seul;"[""condiments d'assaisonnement"", 'sel et épices', 'boeuf en pièces ou haché', 'oeufs et dérivés', 'pâtés, terrines, rillettes et foie gras', 'veau', 'fromages affinés']";"(""condiments d'assaisonnement"", 'sauces')";True;0.1;0.9983552631578947
1.0001;1.0005;0.15;0.75;<__main__.VirtualUser object at 0x000001D083DDAA90>;1;1;gouter;seul;['sucre et assimilés'];('sucre et assimilés', 'confiture et miel');False;0.1;0.9978070175438597
1.0001;1.0005;0.15;0.75;<__main__.VirtualUser object at 0x000001D083DDAA90>;1;1;diner;seul;['jus de fruits (purs et à base  de concentré)', 'vin', 'blé', 'pain', 'oeufs et dérivés', 'pâtés, terrines, rillettes et foie gras'];('pâtés, terrines, rillettes et foie gras', 'volailles et lapins');True;0.1;0.9972587719298246
1.0001;1.0005;0.15;0.75;<__main__.VirtualUser object at 0x000001D083DDAA90>;1;2;petit-dejeuner;accompagne;['lait en bouteille ou en brique', 'confiture et miel'];();False;0.1;0.9972587719298246
1.0001;1.0005;0.15;0.75;<__main__.VirtualUser object at 0x000001D083DDAA90>;1;2;dejeuner;accompagne;['café', 'bière', 'vin', 'herbes aromatiques', 'sauces', 'sel et épices', 'biscottes et panification sèche', 'fruits', 'sucre et assimilés'];('sel et épices', 'sauces');True;0.1;0.9967105263157895
1.0001;1.0005;0.15;0.75;<__main__.VirtualUser object at 0x000001D083DDAA90>;1;2;gouter;accompagne;['chocolat en tablettes'];('chocolat en tablettes', 'fruits');False;0.1;0.9961622807017544
1.0001;1.0005;0.15;0.75;<__main__.VirtualUser object at 0x000001D083DDAA90>;1;2;diner;seul;['cocktails et mélanges', 'eau du robinet', 'vin', 'champignons', 'légumes fruits', 'huile', 'jambons et charcuteries en pièces', 'volailles et lapins', 'yaourts et assimilés', 'chocolat en tablettes', 'fruits'];('chocolat en tablettes', 'fruits');True;0.1;0.9956140350877193
1.0001;1.0005;0.15;0.8;<__main__.VirtualUser object at 0x000001D080C20A20>;1;1;petit-dejeuner;accompagne;['café', 'lait en bouteille ou en brique', 'viennoiserie', 'sucre et assimilés'];('sucre et assimilés', 'confiture et miel');False;0.1;0.9991201055873296
1.0001;1.0005;0.15;0.8;<__main__.VirtualUser object at 0x000001D080C20A20>;1;1;dejeuner;accompagne;['eau du robinet', 'spiritueux et vins cuits', 'pain', 'pâtes alimentaires', 'riz', 'beurre', 'huile', 'volailles et lapins'];('beurre', 'huile');True;0.1;0.9986801583809943
1.0001;1.0005;0.15;0.8;<__main__.VirtualUser object at 0x000001D080C20A20>;1;1;gouter;seul;['café', 'eau de source', 'eau du robinet'];('café', 'thé et infusions');False;0.1;0.998240211174659
1.0001;1.0005;0.15;0.8;<__main__.VirtualUser object at 0x000001D080C20A20>;1;1;diner;seul;['café', 'pain'];('café', 'thé et infusions');False;0.1;0.9978002639683238
1.0001;1.0005;0.15;0.8;<__main__.VirtualUser object at 0x000001D080C20A20>;1;2;petit-dejeuner;seul;['cacao, poudres et boissons cacaotées', 'café', 'thé et infusions', 'pain', 'fromages affinés', 'lait en bouteille ou en brique', 'yaourts et assimilés', 'sucre et assimilés'];('sucre et assimilés', 'confiture et miel');False;0.1;0.9973603167619886
1.0001;1.0005;0.15;0.8;<__main__.VirtualUser object at 0x000001D080C20A20>;1;2;dejeuner;accompagne;['café', 'eau minérale plate', 'vin', 'pain', 'pâtes alimentaires'];('café', 'thé et infusions');False;0.1;0.9969203695556533
1.0001;1.0005;0.15;0.8;<__main__.VirtualUser object at 0x000001D080C20A20>;1;2;gouter;accompagne;['bière', 'eau du robinet', 'eau minérale gazeuse'];('bière', 'eau du robinet');False;0.1;0.9964804223493181
1.0001;1.0005;0.15;0.8;<__main__.VirtualUser object at 0x000001D080C20A20>;1;2;diner;seul;['légumes feuilles', 'légumes racines, tubercules ou bulbes', 'oeufs et dérivés', 'poissons de mer', 'saucisses, saucissons, andouilles et boudins', 'potages et soupes', 'fromages affinés'];('fromages affinés', 'yaourts et assimilés');False;0.1;0.9960404751429829
1.0001;1.0005;0.2;0.5;<__main__.VirtualUser object at 0x000001D082AD3A58>;1;1;petit-dejeuner;seul;['pain', 'confiture et miel', 'sucre et assimilés'];('sucre et assimilés', 'confiture et miel');True;0.1;0.9991201055873296
1.0001;1.0005;0.2;0.5;<__main__.VirtualUser object at 0x000001D082AD3A58>;1;1;dejeuner;accompagne;['eau de source', 'légumes feuilles', 'porc', 'feuilletés et friands'];('feuilletés et friands', 'garnitures composées');True;0.1;0.9986801583809943
1.0001;1.0005;0.2;0.5;<__main__.VirtualUser object at 0x000001D082AD3A58>;1;1;gouter;accompagne;['eau de source'];('eau de source', 'eau du robinet');True;0.1;0.998240211174659
1.0001;1.0005;0.2;0.5;<__main__.VirtualUser object at 0x000001D082AD3A58>;1;1;diner;accompagne;['pain', 'beurre', 'huile', 'porc', 'volailles et lapins', 'potages et soupes'];('beurre', 'huile');False;0.1;0.9978002639683238
1.0001;1.0005;0.2;0.5;<__main__.VirtualUser object at 0x000001D082AD3A58>;1;2;petit-dejeuner;accompagne;['café'];('café', 'thé et infusions');False;0.09000000000000001;0.9973603167619886
1.0001;1.0005;0.2;0.5;<__main__.VirtualUser object at 0x000001D082AD3A58>;1;2;dejeuner;seul;['café', 'pain', 'légumes racines, tubercules ou bulbes', 'beurre', 'huile', 'boeuf en pièces ou haché', 'sucre et assimilés'];('beurre', 'huile');True;0.1;0.9969203695556533
1.0001;1.0005;0.2;0.5;<__main__.VirtualUser object at 0x000001D082AD3A58>;1;2;gouter;seul;['eau minérale plate', 'spiritueux et vins cuits'];('spiritueux et vins cuits', 'eau du robinet');True;0.11;0.9964804223493181
1.0001;1.0005;0.2;0.5;<__main__.VirtualUser object at 0x000001D082AD3A58>;1;2;diner;accompagne;['pain', 'légumes feuilles', 'mélanges de légumes, légumes préparés et autres légumes', 'beurre', 'margarine', 'fruits secs et châtaignes'];('beurre', 'margarine');False;0.1;0.9960404751429829
1.0001;1.0005;0.2;0.75;<__main__.VirtualUser object at 0x000001D083DDA978>;1;1;petit-dejeuner;accompagne;['café'];('café', 'thé et infusions');True;0.1;0.9987661937075879
1.0001;1.0005;0.2;0.75;<__main__.VirtualUser object at 0x000001D083DDA978>;1;1;dejeuner;accompagne;['herbes aromatiques', 'sauces', 'légumes tiges', 'poissons de mer', 'volailles et lapins', 'crème fraîche', 'fromage blanc et petits suisses', 'crème dessert et lait gélifié', 'pâtisseries et tartes'];('pâtisseries et tartes', 'fruits');True;0.1;0.9981492905613819
1.0001;1.0005;0.2;0.75;<__main__.VirtualUser object at 0x000001D083DDA978>;1;1;gouter;seul;['chocolat en tablettes', 'fruits'];('chocolat en tablettes', 'fruits');True;0.1;0.9975323874151758
1.0001;1.0005;0.2;0.75;<__main__.VirtualUser object at 0x000001D083DDA978>;1;1;diner;seul;['eau du robinet', 'blé', 'pain', 'beurre', 'huile', 'plats garnis à base de viande', 'sucre et assimilés'];('beurre', 'huile');True;0.1;0.9969154842689698
1.0001;1.0005;0.2;0.75;<__main__.VirtualUser object at 0x000001D083DDA978>;1;2;petit-dejeuner;accompagne;['jus de fruits (purs et à base  de concentré)'];('jus de fruits (purs et à base  de concentré)', 'eau du robinet');True;0.11;0.9962985811227637
1.0001;1.0005;0.2;0.75;<__main__.VirtualUser object at 0x000001D083DDA978>;1;2;dejeuner;accompagne;['café', 'pommes de terre et apparentés', 'haricots verts et petits pois (légumes potagers)', 'légumes feuilles', 'légumes fruits', 'saucisses, saucissons, andouilles et boudins', 'yaourts et assimilés'];('saucisses, saucissons, andouilles et boudins', 'légumes secs');False;0.11;0.9956816779765577
1.0001;1.0005;0.2;0.75;<__main__.VirtualUser object at 0x000001D083DDA978>;1;2;gouter;seul;['pain'];();False;0.11;0.9956816779765577
1.0001;1.0005;0.2;0.75;<__main__.VirtualUser object at 0x000001D083DDA978>;1;2;diner;accompagne;['bière', 'spiritueux et vins cuits', 'légumes feuilles', 'autres fruits de mer ou fruits de mer sans précision', 'jambons et charcuteries en pièces', 'pâtés, terrines, rillettes et foie gras', 'fruits', 'pâte chocolatée à tartiner'];('pâte chocolatée à tartiner', 'fruits au sirop');True;0.12;0.9950647748303516
1.0001;1.0005;0.2;0.8;<__main__.VirtualUser object at 0x000001D0805097F0>;1;1;petit-dejeuner;accompagne;['café', 'chicorée et poudre maltée', 'confiture et miel', 'sucre et assimilés'];('sucre et assimilés', 'confiture et miel');False;0.1;0.9991201055873296
1.0001;1.0005;0.2;0.8;<__main__.VirtualUser object at 0x000001D0805097F0>;1;1;dejeuner;seul;['café', 'eau du robinet', 'vin', 'sauces', 'sel et épices', 'agneau', 'boeuf en pièces ou haché', 'entremets', 'gâteaux', 'sucre et assimilés'];('sel et épices', 'sauces');True;0.1;0.9986801583809943
1.0001;1.0005;0.2;0.8;<__main__.VirtualUser object at 0x000001D0805097F0>;1;1;gouter;seul;['eau du robinet', 'eau minérale plate', 'fromages fondus', 'biscuits sucrés', 'gâteaux'];('biscuits sucrés', 'fruits');False;0.1;0.998240211174659
1.0001;1.0005;0.2;0.8;<__main__.VirtualUser object at 0x000001D0805097F0>;1;1;diner;seul;['pain', 'beurre', 'margarine', 'jambons et charcuteries en pièces', 'poissons de mer', 'saucisses, saucissons, andouilles et boudins', 'fromages affinés'];('beurre', 'huile');True;0.1;0.9978002639683238
1.0001;1.0005;0.2;0.8;<__main__.VirtualUser object at 0x000001D0805097F0>;1;2;petit-dejeuner;seul;['autre eau', 'eau du robinet', 'jus de fruits (purs et à base  de concentré)', 'pain', 'confiture et miel', 'sucre et assimilés'];('sucre et assimilés', 'confiture et miel');True;0.1;0.9973603167619886
1.0001;1.0005;0.2;0.8;<__main__.VirtualUser object at 0x000001D0805097F0>;1;2;dejeuner;seul;['café', 'autre eau', 'eau du robinet', 'sauces', 'pain', 'pâtes alimentaires', 'riz', 'sucre et assimilés'];('sucre et assimilés', 'confiture et miel');False;0.1;0.9969203695556533
1.0001;1.0005;0.2;0.8;<__main__.VirtualUser object at 0x000001D0805097F0>;1;2;gouter;seul;['thé et infusions', 'sucre et assimilés'];('sucre et assimilés', 'confiture et miel');False;0.1;0.9964804223493181
1.0001;1.0005;0.2;0.8;<__main__.VirtualUser object at 0x000001D0805097F0>;1;2;diner;seul;['eau du robinet', 'jus de fruits (purs et à base  de concentré)', 'spiritueux et vins cuits', 'pain', 'champignons', 'légumes feuilles', 'légumes fruits', 'mélanges de légumes, légumes préparés et autres légumes', 'bouillons'];('pain', 'pâtes alimentaires');False;0.1;0.9960404751429829
1.0005;1.001;0.05;0.5;<__main__.VirtualUser object at 0x000001D08159FC50>;1;1;petit-dejeuner;accompagne;['café', 'thé et infusions', 'pain', 'margarine', 'confiture et miel'];();False;0.1;0.9995934959349594
1.0005;1.001;0.05;0.5;<__main__.VirtualUser object at 0x000001D08159FC50>;1;1;dejeuner;accompagne;['eau du robinet', 'eau minérale plate', 'vin', 'pain', 'pommes de terre et apparentés', 'huile', 'autres fruits de mer ou fruits de mer sans précision', 'poissons de mer', 'biscuits salés pour apéritif', 'chocolat en tablettes', 'crème dessert et lait gélifié', 'fruits'];('chocolat en tablettes', 'fruits');True;0.1;0.9991869918699187
1.0005;1.001;0.05;0.5;<__main__.VirtualUser object at 0x000001D08159FC50>;1;1;gouter;accompagne;['lait en bouteille ou en brique'];();False;0.1;0.9991869918699187
